Galaxy Type N_GC N_GC_err Mdyn MBH sig_e err_sig_e A_V MV_T err_MV_T MK Re upMBH lowMBH
NGC4291        E                950            170          11.077          8.98          242.0          12.0           0.121          -20.74         0.38           -23.686        2.19           0.10           0.18          
VCC-437        S0                42              8           9.785         NA              47.0           6.0           0.084          -17.82         0.20           -19.653        2.97           NA             NA            
VCC-452        E                 18              6          NA             NA              23.8           1.1           0.077          -15.88         0.20           nd             nd             NA             NA            
VCC-503        E                  3              4          NA             NA             NA             NA             0.051          -14.88         0.20           nd             nd             NA             NA            
VCC-529        E                  4              4          NA             NA             NA             NA             0.065          -13.47         0.20           nd             nd             NA             NA            
NGC4309A       E                  1              4          NA             NA             NA             NA             0.054          -16.24         0.20           -18.532        nd             NA             NA            
VCC-543        S0                18              6           9.265         NA              30.5           2.0           0.087          -17.41         0.20           -19.648        2.13           NA             NA            
VCC-571        S0                11              6          NA             NA             NA             NA             0.059          -17.32         0.20           -19.408        nd             NA             NA            
NGC4318        E                 18              6           9.811         NA              95.0           3.9           0.083          -18.50         0.21           -21.382        0.77           NA             NA            
VCC-646        E                  5              5          NA             NA             NA             NA             0.082          -12.90         0.20           nd             nd             NA             NA            
NGC4340        Irr               45             16          10.540         NA             116.3           3.0           0.072          -17.56         0.43           -22.707        2.75           NA             NA            
NGC4350        S0               196             60          10.793          8.74          180.5           7.2           0.093          -20.05         0.20           -23.147        2.05           0.10           0.10          
NGC4352        S0               114             12           9.957         NA              69.8           5.9           0.084          -18.86         0.20           -21.495        2.00           NA             NA            
NGC4365        E               3246            598          11.679         NA             256.1           3.4           0.070          -22.35         0.20           -25.207        7.83           NA             NA            
VCC-747        E                 16              6          NA             NA             NA             NA             0.059          -15.47         0.20           nd             nd             NA             NA            
IC3292         S0                 9              4          NA             NA             NA             NA             0.091          -16.97         0.20           -19.173        0.99           NA             NA            
NGC4371        S0               200             41          10.684         NA             137.1           2.6           0.122          -20.46         0.20           -23.445        2.77           NA             NA            
NGC4374        E               4301           1201          11.648          8.96          296.0          14.0           0.134          -22.36         0.20           -25.130        5.46           0.05           0.04          
NGC4377        S0                74             32          10.272         NA             144.1           9.8           0.120          -19.48         0.20           -22.420        0.97           NA             NA            
NGC4379        S0                50             14          10.167         NA             115.9           4.8           0.077          -19.36         0.20           -22.248        1.18           NA             NA            
NGC4382        S0              1110            181          11.347          0.00          178.7           5.0           0.103          -22.25         0.20           -25.128        7.48           7.81           0.00          
NGC4387        E                 70             10          10.115         NA             105.0           2.5           0.110          -19.27         0.20           -22.135        1.27           NA             NA            
IC3328         E                 43              8           9.131         NA              33.6           1.7           0.067          -17.57         0.20           -19.837        1.29           NA             NA            
VCC-871        E                 18              6          NA             NA             NA             NA             0.090          -16.36         0.20           nd             1.42           NA             NA            
